id,link,title,author,image_link,publisher,description,genre,format,subject,audience,collection
677319,http://catalog.douglascountylibraries.org//Record/677319,Babepig in the city,"Miller, George, 1945 March 3-;Universal Pictures (Firm);Lamprell, Mark;King-Smith, Dick;Morris, Judy, 1947-",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0783232292&upc=025192052729&id=677319&size=small,"Distr. Universal Studios Home Video,","A hero for winning the sheepdog trials, a pig visits the city and rescues a motley collection of animals impounded by the authorities.",Children's films,DVD,Swine Juvenile drama;Animals Juvenile drama,General,DVD
684077,http://catalog.douglascountylibraries.org//Record/684077,Percy's chocolate crunch and other Thomas the tank engine stories,"Palone, Terry;Awdry, W;Permane, Terry;Mitton, David",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780375813924&upc=&id=684077&size=small,"Random House,","A collection of stories about Percy, Harold the helicopter, and other friends of Thomas the tank engine.",Railroad stories,Picture Book,Helicopters Juvenile fiction;Thomas the Tank Engine (Fictitious character),,Books
688763,http://catalog.douglascountylibraries.org//Record/688763,Bye Bye Birdie,"Brecher, Irving;Ann-Margret, 1941-;Leigh, Janet;Columbia Pictures;Van Dyke, Dick;Sidney, George, 1916-2002;Rydell, Bobby;Columbia TriStar Home Video (Firm);Kohlmar, Fred, 1905-1969;Stewart, Michael, 1929-1987",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0767827651&upc=043396015098&id=688763&size=small,"Distr. by Columbia Tristar Home Video,","When rock star and teenage heart-throb Conrad Birdie gets drafted, the nation's teenagers go haywire. One lucky girl wins a farewell kiss from Conrad on the Ed Sullivan show. The result is chaos and a series of hilarious romantic complications.",Video recordings for the hearing impaired,DVD,Teenagers Drama;Rock musicians Drama,General,DVD
691021,http://catalog.douglascountylibraries.org//Record/691021,Firemouse,"Barbaresi, Nina",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0553111779&upc=&id=691021&size=small,"Dell Dragonfly Books,","Emulating the fire fighters with whom they reside, the firehouse mice form their own company just in time to save the firehouse itself from burning down.",,Picture Book,Mice Juvenile fiction;Fire fighters Juvenile fiction;Fire Juvenile fiction;Fire extinction Juvenile fiction,Juvenile,Books
691074,http://catalog.douglascountylibraries.org//Record/691074,Nate the Great and the mushy valentine,"Sharmat, Marjorie Weinman;Simont, Marc",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0440410134&upc=&id=691074&size=small,"Dell Yearling,","Nate the Great investigates two cases that may be connected, involving a missing valentine and a valentine that came from nowhere.",,Book,Reading rainbow (Television program) Featured book Juvenile fiction;Nate the Great (Fictitious character) Juvenile fiction;Valentine's Day Juvenile fiction;Private investigators Juvenile fiction;Detective and mystery stories,Juvenile,Books
695514,http://catalog.douglascountylibraries.org//Record/695514,Mansfield Park,"Farrell, Nicholas;Pleasence, Angela;Massey, Anna;Willingale, Betty;Le Touzel, Sylvestra;Hepton, Bernard;Austen, Jane, 1775-1817;Warner Home Video (Firm);Taylor, Ken;BBC Worldwide Americas, Inc;BBC Video (Firm);Giles, David;British Broadcasting Corporation",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0790770253&upc=794051168528&id=695514&size=small,BBC Video ;,"A young, impoverished woman arrives at her uncle's country estate, and is snubbed by everyone except her cousin, whom she soon grows to love.",Television programs for the hearing impaired,DVD,Women England Social conditions Drama;Young women England Drama;Television programs Great Britain,General,DVD
697248,http://catalog.douglascountylibraries.org//Record/697248,The courage to be richcreating a life of material and spiritual abundance,"Orman, Suze;Paramount Home Entertainment (Firm);Tramaloni, Tedd;PBS Home Video;KTCA-TV (Television station : Saint Paul, Minn.)",http://catalog.douglascountrylibraries.org/bookcover.php?isn=1415702675&upc=097368860247 (DVD)&id=697248&size=small,PBS Home Video :,,,DVD,"Finance, Personal Psychological aspects;Personal finance Moral and ethical aspects;Wealth Psychological aspects;Wealth Moral and ethical aspects",General,DVD
699369,http://catalog.douglascountylibraries.org//Record/699369,Agatha Christie's Poirot,"Bennett, Edward, 1950-;Jackson, Philip, 1948-;Eastman, Brian;Moran, Pauline;Suchet, David;Wakelam, Stephen;Fraser, Hugh;Baker, Michael, 1948-;Rye, Renny;Exton, Clive;Acorn Media (Firm);London Weekend Television, ltd;Christie, Agatha, 1890-1976",http://catalog.douglascountrylibraries.org/bookcover.php?isn=1569387346&upc=&id=699369&size=small,"Acorn Media,","Three episodes of the impeccably turned-out diminutive Belgian sleuth. With the his razor sharp mind and the aid of the affabel Captain Hastings, Poirot unravels the thorniest cases without mussing a hair of his famously sculpted mustache. Set in the elegance 1930's England, the series also includes Chief Inspector Japp and Miss Lemon.",Detective and mystery television programs,DVD,"Poirot, Hercule (Fictitious character) Drama;Television programs Great Britain",General,DVD
700781,http://catalog.douglascountylibraries.org//Record/700781,The Abominable Snowman doesn't roast marshmallows,"Gurney, John Steven, 1962-;Dadey, Debbie;Jones, Marcia Thornton",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0439650372&upc=9780439650373 (pbk.)&id=700781&size=small,"Scholastic,",The Bailey School kids investigate to see if a frosty stranger who visits their town's winter festival is really the Abominable Snowman.,,Book,Bailey School Kids (Fictitious characters) Juvenile fiction;Yeti Juvenile fiction;Schools Juvenile fiction,Juvenile,Books
708071,http://catalog.douglascountylibraries.org//Record/708071,Deep South USA,Pilot Film and Television Productions;Escapi New Media Studios,http://catalog.douglascountrylibraries.org/bookcover.php?isn=9781932702095&upc=637101121374&id=708071&size=small,"Pilot Film & TV Productions,",,Travelogues (Television programs),DVD,,General,DVD
